    437  387  400  403  350  408  225
    470  173  493  173  462  343  425
    168  392  368  310  403  177  408
    175  320  185  462  197  450  392
    435  233  383  188  460  180  473
    177  457  185  352  400  370  372
    425  358  380  377  375  250  450
    410  370  380  343  400  227  440
    405  425  333  200  433  293  458
    190  358  373  373  182  463  350
    400  367  167  460  167  400  180
    442  190  463  293  350  197  428
    183  413  183  465  420  393  433
    183  453  203  418  443  407  413
    395  410  272  458  190  450  195
    483  412 0     0    0    0    0
